timestep,price
298,64967.640000
299,65097.620000
300,65124.700000
301,65036.530000
302,65010.840000
303,64773.700000
304,64871.070000
305,64832.430000
306,64815.070000
307,64699.850000
308,64399.510000
309,64483.080000
310,64611.990000
311,64769.450000
312,64748.100000
313,64584.190000
314,64459.070000
315,64765.890000
316,64917.010000
317,64643.260000
318,64670.030000
319,64993.120000
320,65016.770000
321,65053.870000
322,65204.540000
323,65032.510000
324,64950.760000
325,64674.210000
326,64859.330000
327,64686.840000
328,64852.090000
329,64872.540000
330,64751.850000
331,64609.110000
332,64542.800000
333,64643.580000
334,64805.790000
335,64448.790000
336,64408.090000
337,64226.740000
338,64456.280000
339,64693.780000
340,64767.690000
341,64636.590000
342,64870.060000
343,64675.620000
344,64378.590000
345,64420.750000
346,64387.250000
347,64279.410000
348,64664.750000
349,64831.710000
350,64974.850000
351,64860.770000
352,65038.420000
353,64824.020000
354,64735.780000
355,64838.740000
356,64881.300000
357,65095.020000
358,65094.720000
359,64936.640000
360,65078.650000
361,64897.260000
362,65093.880000
363,64767.800000
364,64859.650000
365,64670.830000
366,64985.610000
367,64726.200000
368,64773.810000
369,64673.090000
370,64805.470000
371,64736.540000
372,64518.420000
373,64565.690000
374,64652.420000
375,64692.710000
376,64510.380000
377,64320.170000
378,64661.740000
379,64613.870000
380,64495.100000
381,64503.540000
382,64494.850000
383,64336.310000
384,64377.980000
385,64445.530000
386,64147.880000
387,64196.660000
388,64579.640000
389,64216.770000
390,63970.920000
391,63718.280000
392,63701.220000
393,63725.970000
394,63522.890000
395,63481.150000
396,63279.790000
397,63288.740000
398,63351.890000
399,63570.310000
400,63390.430000
401,63599.650000
402,63836.670000
403,63448.960000
404,63444.210000
405,63192.560000
406,63297.890000
407,63249.130000
408,63560.350000
409,63357.460000
410,63117.160000
411,63499.290000
412,63384.140000
413,63196.790000
414,63159.560000
415,62866.940000
416,62823.910000
417,62702.430000
418,62722.850000
419,62918.050000
420,62944.360000
421,62796.250000
422,62972.150000
423,63053.250000
424,62865.400000
425,63100.120000
426,63078.360000
427,63216.060000
428,62980.250000
429,62788.040000
430,62874.350000
431,62801.040000
432,62599.650000
433,62820.980000
434,62958.780000
435,63139.110000
436,63260.140000
437,63486.530000
438,63503.970000
439,63502.580000
440,63485.720000
441,63721.010000
442,63408.900000
443,63510.370000
444,63662.870000
445,63765.520000
446,63817.700000
447,63975.720000
448,63868.490000
449,64196.070000
450,64292.960000
451,64158.200000
452,64023.900000
453,64089.330000
454,63919.580000
455,63884.920000
456,63935.950000
457,63955.190000
458,63794.680000
459,63935.930000
460,63845.720000
461,63762.690000
462,64237.260000
463,64418.600000
464,64575.130000
465,64503.400000
466,64344.870000
467,64564.090000
468,64467.880000
469,64292.190000
470,64357.160000
471,64275.130000
472,64300.070000
473,64339.600000
474,64411.130000
475,64440.820000
476,64645.650000
477,64495.690000
478,64847.440000
479,64782.520000
480,64703.930000
481,64786.890000
482,64809.380000
483,64660.760000
484,64344.840000
485,64441.170000
486,64446.350000
487,64180.540000
488,64173.360000
489,64174.050000
490,64171.640000
491,64216.250000
492,63840.760000
493,63644.060000
494,63165.580000
495,63030.080000
496,63173.480000
497,63188.830000
498,63104.590000
499,63314.520000
500,63656.970000
